Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
18,Entry long,2023-03-25 06:00:00,Long,1756.16,0.0456,80.08089600000001,0.19,0.24,2.05,2.56,-2.05,-2.55,9.82,9.82
19,Exit long,2023-04-27 11:00:00,TP1 VWAP,1920,0.0107,19.97048,0.53,2.67,0.77,3.83,-0.22,-1.11,10.27,10.27
19,Entry long,2023-04-27 07:00:00,Long,1866.4,0.0107,19.97048,0.53,2.67,0.77,3.83,-0.22,-1.11,10.27,10.27
20,Exit long,2023-04-27 12:00:00,BE Stop,1892.03,0.0428,79.88192,0.94,1.17,3.06,3.83,-0.88,-1.11,11.28,11.28
20,Entry long,2023-04-27 07:00:00,Long,1866.4,0.0428,79.88192,0.94,1.17,3.06,3.83,-0.88,-1.11,11.28,11.28
21,Exit long,2023-05-12 01:00:00,SL,1798.7,0.0538,99.90875199999999,-3.34,-3.34,1.51,1.51,-3.98,-3.98,7.95,7.95
21,Entry long,2023-05-08 20:00:00,Long,1857.04,0.0538,99.90875199999999,-3.34,-3.34,1.51,1.51,-3.98,-3.98,7.95,7.95
22,Exit long,2023-05-15 14:00:00,BE Stop,1825.77,0.0439,80.063503,-0.07,-0.09,0.46,0.57,-0.25,-0.31,7.86,7.86
22,Entry long,2023-05-15 12:00:00,Long,1823.77,0.0439,80.063503,-0.07,-0.09,0.46,0.57,-0.25,-0.31,7.86,7.86
23,Exit long,2023-05-15 15:00:00,BE Stop,1827.5,0.0109,19.879093,0.001,0,0.11,0.57,-0.06,-0.31,7.88,7.88
23,Entry long,2023-05-15 12:00:00,Long,1823.77,0.0109,19.879093,0.001,0,0.11,0.57,-0.06,-0.31,7.88,7.88
24,Exit long,2023-05-18 04:00:00,TP1 VWAP,1815.64,0.0111,19.954581,0.16,0.8,0.25,1.24,-0.08,-0.4,7.96,7.96
